一,ichi,one,,0
一番,ichiban,number one,,1
一つ,hitotsu,one,,2
一緒,issho,together,,3
一般,ippan,general,,4
九,kyuu,nine,,5
九州,kyuushuu,Kyushu (southernmost of the four main islands of Japan),,6
七,shichi,seven,,7
十,juu,ten,,8
十分,juubun,enough,,9
不十分,fujuubun,insufficient,,10
人,jin,-ian (e.g. Italian),,11
人間,ningen,human being,,12
個人,kojin,individual,,13
日本人,nihonjin,Japanese person,,14
人々,hitobito,each person,,15
丁寧,teinei,polite,,16
丁度,choudo,exactly,,17
丁目,choume,district of a town,,18
包丁,houchou,kitchen knife,,19
刀,katana,(single-edged) sword,,20
二,ni,two,,21
二つ,futatsu,two,,22
二度と,nidoto,never again,,23
二月,nigatsu,February,,24
購入,kounyuu,purchase,,25
入り,iri,entering,,26
入る,iru,to get in,,27
入力,nyuuryoku,input,,28
入れる,ireru,to put in,,29
八,hachi,eight,,30
又,mata,again,,31
又は,mataha,or,,32
終了,shuuryou,end,,33
完了,kanryou,completion,,34
了承,ryoushou,acknowledgement,,35
了,ryou,finish,,36
了解,ryoukai,comprehension,,37
力,chikara,force,,38
能力,nouryoku,ability,,39
協力,kyouryoku,cooperation,,40
魅力,miryoku,charm,,41
下,shita,below,,42
以下,ika,not exceeding,,43
下さい,kudasai,please give me,,44
下記,kaki,the following,,45
低下,teika,fall,,46
若干,jakkan,some,,47
丸,maru,circle,,48
丸い,marui,round,,49
久しぶり,hisashiburi,a long time (since the last time),,50
久々,hisabisa,(in a) long time,,51
耐久,taikyuu,endurance,,52
永久,eikyuu,eternity,,53
及び,oyobi,and,,54
普及,fukyuu,diffusion,,55
言及,genkyuu,reference,,56
及ぶ,oyobu,to reach,,57
及ぼす,oyobosu,to exert,,58
弓,yumi,bow (weapon),,59
自己,jiko,self,,60
己,onore,I,,61
口,kuchi,mouth,,62
人口,jinkou,population,,63
口座,kouza,account (e.g. bank),,64
窓口,madoguchi,ticket window,,65
出口,deguchi,exit,,66
工場,koujou,factory,,67
工事,kouji,construction work,,68
工夫,kufuu,scheme,,69
加工,kakou,manufacturing,,70
人工,jinkou,artificial,,71
才能,sainou,talent,,72
天才,tensai,genius,,73
才,sai,ability,,74
三,san,three,,75
三つ,mittsu,three,,76
三角,sankaku,triangle,,77
第三者,daisansha,third party,,78
三昧,sanmai,samadhi (state of intense concentration achieved through meditation),,79
山,yama,mountain,,80
沢山,takusan,a lot,,81
登山,tozan,mountain climbing,,82
富士山,fujisan,Mount Fuji,,83
山形,yamagata,mountain-shape,,84
同士,doushi,fellow,,85
博士,hakase,expert,,86
弁護士,bengoshi,lawyer,,87
兵士,heishi,soldier,,88
子供,kodomo,child,,89
子,ko,child,,90
様子,yousu,state,,91
原子力,genshiryoku,atomic energy,,92
息子,musuko,son,,93
彼女,kanojo,she,,94
女性,josei,woman,,95
女,onna,female,,96
女の子,onnanoko,girl,,97
女子,joshi,woman,,98
小さな,chiisana,small,,99
小さい,chiisai,small,,100
小,shou,smallness,,101
小説,shousetsu,novel,,102
小学校,shougakkou,primary school,,103
上,ue,above,,104
以上,ijou,not less than,,105
上げ,age,tuck (e.g. in a dress),,106
上記,jouki,above-mentioned,,107
向上,koujou,elevation,,108
大丈夫,daijoubu,safe,,109
丈,dake,only,,110
丈夫,joubu,healthy,,111
刃,ha,edge (of a knife or sword),,112
寸前,sunzen,just before,,113
夕方,yuugata,evening,,114
夕食,yuushoku,evening meal,,115
夕飯,yuuhan,evening meal,,116
夕,yuu,evening,,117
千,sen,"1,000",,118
